Bin_ID,ELectoral_Area,Bin_Type,Irish_X,Irish_Y
WMS0218,NORTH CITY,Class A,315944.0483585046,234578.96103712497
WMS1801,KYLEMORE,Class B,310195.0632048373,232723.2613816147
WMS4166,NORTH DOCK C,Cast Iron,316851.8481140137,234559.94024458993
WMS1083,CABRA EAST B,Bigbelly Bin,314282.588793832,235895.40981733796
WMS4234,MOUNTJOY A,Cast Iron,316511.77223699866,235413.84822940466
WMS2597,DRUMCONDRA SOUTH A,Class B,316863.4034009564,237119.54327543374
WMS0944,RATHMINES WEST B,Class B,315674.3899319142,232189.82929768518
WMS3776,RATHMINES WEST E,Class B,314707.6725161802,231089.52103866785
WMS0595,WOOD QUAY A,Class A,315139.77654446143,233806.72508439206
WMS4288,MANSION HOUSE A,Cast Iron,316724.1804354614,234263.57801953895
WMS3964,ASHTOWN A,Class B,311318.77946805366,236982.94679084668
WMS1174,PEMBROKE EAST B,Bigbelly Bin,318907.6843330954,232744.75097078312
WMS0978,MERCHANTS QUAY B,Class A,314994.9037836146,233912.77093822963
WMS0822,MANSION HOUSE A,Class A,316210.66614469275,233874.42843981428
WMS2273,BEAUMONT B,Class B,318052.476694736,238701.84137007053
WMS5070,CABRA EAST A,Class B,314245.62858124805,237207.75550046528
WMS0098,INNS QUAY A,Class A,315810.7942621978,235800.26401398258
WMS5214,KILMORE D,Class B,319888.59686058434,239094.39374612886
WMS4360,SAINT KEVIN'S,Cast Iron,316125.6785932123,233082.27558776573
WMS4712,WOOD QUAY A,Cast Iron,315245.21893685916,233394.27015161747
WMS2765,CABRA WEST B,Class B,313489.08777969447,236549.5415186393
WMS2153,BALLYGALL C,Class B,315467.14272414125,237960.2729513218
WMS1004,PEMBROKE EAST A,Class A,318231.8256213289,233991.12086929748
WMS3943,TERENURE A,Class B,314737.5302386988,231231.39156853466
WMS4542,DRUMFINN,Cast Iron,309756.53920564614,233683.9371674325
WMS0742,MANSION HOUSE B,Class A,316221.16517845105,233068.1511221617
WMS4488,MERCHANTS QUAY B,Cast Iron,314793.27904676634,233862.8992784749
WMS1866,CLONTARF EAST D,Class B,319257.0301875123,236289.7370030295
WMS1718,ROYAL EXCHANGE B,Class A,315960.49685948173,233851.54406365345
WMS3868,DRUMCONDRA SOUTH B,Class B,316059.30632579006,236233.7609517358
WMS0370,NORTH CITY,Class A,315905.0499686933,234495.52085148485
WMS1108,WALKINSTOWN B,Bigbelly Bin,311572.23467238725,231711.51358714735
WMS1704,KIMMAGE C,Dog Bin,313710.7658580184,231551.80311146931
WMS1148,ROYAL EXCHANGE A,Bigbelly Bin,315448.5644649057,234084.78353740482
WMS5310,PEMBROKE WEST B,Class B,317483.73048244684,231687.46051215526
WMS4759,FINGLAS NORTH B,Class A,312710.58647127356,239728.72809218036
WMS5329,BALLYBOUGH A,Class B,317181.62109624234,235746.4119900696
WMS1975,ROYAL EXCHANGE B,Class A,315782.0049591181,233837.94061875375
WMS3773,ASHTOWN A,Class B,311811.37627187493,237096.3916506889
WMS3653,KIMMAGE E,Class B,312710.5783726236,230933.41004910946
WMS2928,INNS QUAY A,Class B,315516.736218474,235590.2397478049
WMS3578,WALKINSTOWN A,Class B,311384.66265318845,231575.9488833462
WMS2522,CLONTARF EAST D,Class B,319390.4732575711,237091.11105156614
WMS2645,CLONTARF EAST C,Class B,320202.5299692584,236757.42015586334
WMS4180,MOUNTJOY B,Cast Iron,315970.38971017656,235475.17843995485
WMS4247,ROTUNDA A,Cast Iron,316103.8589157168,235176.54787019183
WMS3828,AYRFIELD,Class B,320982.35924272635,240013.57293027668
WMS2289,BEAUMONT C,Class B,319003.9024304748,238413.3888645337
WMS4299,ROTUNDA B,Cast Iron,315262.44233627536,234800.4052379559
WMS2148,WHITEHALL A,Class B,315499.4685253241,238621.7303492729
WMS0188,NORTH CITY,Class A,316129.50670077297,234488.235231115
WMS4405,MANSION HOUSE A,Cast Iron,316605.0109448112,234214.29773612256
WMS0191,NORTH CITY,Class A,316215.93354331865,234513.9995522307
WMS0596,WOOD QUAY A,Class A,315277.7408704192,233849.35404907205
WMS4400,MANSION HOUSE A,Cast Iron,316584.4117383087,233891.73860595693
WMS0778,SAINT KEVIN'S,Class A,316040.7639268651,232579.57137723596
WMS2205,WHITEHALL B,Class B,316460.74909841653,238589.50994361824
WMS0700,SAINT KEVIN'S,Class A,315749.8969590353,233043.37208644254
WMS3204,RATHMINES WEST F,Class B,314744.18677218043,231395.66133061767
WMS3798,KIMMAGE C,Class B,313990.9755769145,231969.7878080574
WMS0643,ROYAL EXCHANGE A,Class A,315832.7041095497,233985.60969169487
WMS0265,INCHICORE A,Cast Iron,311820.2544332488,233333.94995487333
WMS1910,BALLYMUN B,Class A,315517.8244193838,240154.23570790325
WMS3573,TERENURE B,Class B,313628.02157036617,230721.4321334679
WMS1710,PEMBROKE EAST B,Dog Bin,318535.9436690055,233287.43737659504
WMS3222,TERENURE B,Class B,314453.8570982189,230201.11629956088
WMS4765,MANSION HOUSE A,Cast Iron,316262.8240548412,234235.15276970164
WMS0277,PEMBROKE EAST D,Class A,317849.05798562866,230694.00805343268
WMS3735,MOUNTJOY B,Class B,315826.6358647798,235762.11889709366
WMS5311,PEMBROKE EAST E,Class B,318258.25158451975,232259.83735180134
WMS4761,ARRAN QUAY C,Class A,314924.72904786887,234373.74944583644
WMS0281,MANSION HOUSE B,Class A,316363.3952914633,232855.42357169805
WMS1744,BALLYBOUGH A,Bigbelly Bin,316728.5172158773,235618.26936122097
WMS5235,ASHTOWN B,Class B,312600.8745253866,236295.694942226
WMS3981,CRUMLIN B,Class B,312829.97949288134,232178.1198855619
WMS1850,MOUNTJOY A,Bigbelly Bin,316525.74541701196,234850.21287031245
WMS1552,NORTH CITY,Class A,315704.17910408287,234861.771738753
WMS3714,KILMORE D,Class B,318830.4907820715,239234.2324943189
WMS4254,NORTH CITY,Cast Iron,316287.2029189322,234770.82123186733
WMS0241,NORTH CITY,Class A,315910.4638042344,234598.5208330991
WMS5324,BALLYBOUGH A,Class B,316827.7587955761,235308.5929797797
WMS2475,HARMONSTOWN B,Class B,319877.1795036806,238390.52983445372
WMS1482,WHITEHALL C,Class A,316733.1439974021,239418.3910833273
WMS0586,MERCHANTS QUAY B,Class A,315105.0074145648,233499.50713910037
WMS2270,BEAUMONT B,Class B,317884.5843360823,239242.4259640019
WMS1285,NORTH DOCK C,Bigbelly Bin,317093.4962115353,234639.85333118093
WMS0342,ROTUNDA B,Class A,315306.1136014536,234626.40880594385
WMS5078,DRUMCONDRA SOUTH C,Class B,316441.61159461865,237597.33755761044
WMS4758,RATHFARNHAM,Cast Iron,315112.15422667295,230450.6952704763
WMS0914,PEMBROKE WEST C,Bigbelly Bin,317377.26699943386,232780.80784746743
WMS2345,KILMORE D,Class B,319608.1934227855,239374.97815281717
WMS1254,SOUTH DOCK,Bigbelly Bin,317698.5453308798,234067.36045054713
WMS1026,ROTUNDA A,Class A,315831.9539528001,234969.3235881131
WMS3812,CLONTARF WEST D,Class B,317143.1614200259,236124.27828420306
WMS4615,MERCHANTS QUAY C,Cast Iron,314423.7973856847,233609.3960926241
WMS3715,GRANGE D,Class B,321739.2454054238,239192.76769390205
WMS1590,CLONTARF WEST D,Class B,317859.0028943589,236342.45605194682
WMS5144,USHERS D,Class B,313712.6994843785,232984.0130392923
WMS4251,MOUNTJOY A,Cast Iron,316226.7749684462,234939.45293174547
WMS5040,BEAUMONT C,Class B,319363.68240041274,238535.3325695164
WMS3726,CLONTARF WEST A,Class B,319020.558014188,237977.25740767372
WMS5150,TERENURE D,Class B,314480.4074548275,229666.52503622934
WMS3343,CRUMLIN F,Class B,312209.3991548722,231904.082730889
WMS2071,FINGLAS NORTH C,Class B,313638.787058832,239560.0066803649
WMS2392,HARMONSTOWN A,Class B,320120.00916150893,239379.99894062083
WMS1303,MANSION HOUSE A,Bigbelly Bin,316402.4360060367,234410.2264965571
WMS4639,PEMBROKE EAST B,Cast Iron,318927.15385039407,232803.30520267284
WMS1854,BEAUMONT D,Class A,318849.4107495319,238537.56049416412
WMS4538,DRUMFINN,Cast Iron,309654.49707507296,233708.65987187816
WMS2415,AYRFIELD,Class B,320905.9176011785,239370.61182800776
WMS2581,GRACE PARK,Class B,317181.96775015106,237559.9878649375
WMS5403,CHAPELIZOD,Class A,310736.8142837529,234215.57559025526
WMS2793,ASHTOWN A,Class B,311062.8211147471,237626.96394130946
WMS0418,ASHTOWN A,Class A,311601.3996307944,237223.2534358498
WMS2297,KILMORE D,Class B,318804.3779546579,239245.57202261995
WMS1986,CLONTARF EAST B,Bigbelly Bin,321056.1704713147,236022.5782870204
WMS1474,NORTH CITY,Class A,315989.4789122698,234691.31626100407
WMS3533,DRUMCONDRA SOUTH C,Class B,316053.01707088976,237412.1847638998
WMS0064,CLONTARF EAST B,Class A,321586.30075380066,236614.94220123254
WMS0127,MOUNTJOY A,Class A,316521.89869852585,234945.5809772473
WMS2357,PRIORSWOOD D,Class B,319796.7396595171,239788.56646165554
WMS2461,GRANGE D,Class B,321895.1809080078,239183.16797772027
WMS0737,MANSION HOUSE B,Class A,316180.99690960994,233234.2704368849
WMS4652,MANSION HOUSE A,Cast Iron,316541.8110652736,234233.0065459951
WMS4475,USHERS B,Cast Iron,314401.1937458865,233928.9509215362
WMS1709,SOUTH DOCK,Dog Bin,317093.25664221385,233937.57600822966
WMS1831,ROYAL EXCHANGE A,Class A,315599.6303968874,234045.73562117206
WMS1358,BALLYMUN C,Class A,315615.87552149716,239835.90632506378
WMS4112,WHITEHALL A,Cast Iron,316228.811099932,237790.5391532614
WMS0153,BALLYBOUGH B,Class A,315938.77557558543,236005.63560148072
WMS5038,CLONTARF EAST A,Class B,320335.8105680705,237689.8534286908
WMS4184,ARRAN QUAY B,Cast Iron,314229.94290169806,235026.26474159097
WMS1925,ROYAL EXCHANGE B,Class A,315653.1843718743,233885.4968126989
WMS1404,PRIORSWOOD C,Class A,320508.2887026065,240637.98555289267
WMS1084,CABRA EAST A,Bigbelly Bin,315096.30999482295,235875.8344040485
WMS2580,GRACE PARK,Class B,317223.519493714,237569.74351593273
WMS4582,ROTUNDA B,Cast Iron,315225.14637178776,234593.8799414663
WMS1169,MANSION HOUSE B,Class A,315939.10941903037,233569.96160249357
WMS1278,NORTH DOCK C,Bigbelly Bin,317221.56224293244,234779.6188666057
WMS0498,ASHTOWN A,Class A,311981.67125508597,236713.9391835253
WMS1388,ROYAL EXCHANGE A,Bigbelly Bin,315353.8547791733,234019.28151463726
WMS3475,CLONTARF EAST A,Class B,321769.6858412703,237853.33791374954
WMS1028,ROTUNDA A,Class A,315924.5896407781,235049.42405459358
WMS4238,MOUNTJOY A,Cast Iron,316152.1460369164,235173.86990019298
WMS1596,BALLYBOUGH A,Class B,316833.79178777814,235518.65331980403
WMS3257,TERENURE C,Class B,313520.07379451813,229387.8606531587
WMS4450,PEMBROKE WEST C,Cast Iron,316537.92574755056,232524.11765042433
WMS4753,RATHMINES WEST C,Class A,315719.57504234917,231188.9894883726
WMS3933,HARMONSTOWN B,Class B,319912.31011639524,238184.9760779836
WMS4006,CABRA EAST A,Cast Iron,315095.42918341415,236374.0361028458
WMS0809,MANSION HOUSE B,Class A,316108.2819404934,233896.70017200822
WMS3597,RATHMINES EAST B,Class B,316835.7267340255,230399.75000225776
WMS0840,MANSION HOUSE A,Class A,316914.4532566349,233965.25080410502
WMS3336,WALKINSTOWN A,Class B,311162.39113456896,231030.80153883717
WMS0343,NORTH CITY,Class A,315316.16452840605,234634.49340855374
WMS2412,GRANGE C,Class B,322377.294819972,239978.77752692392
WMS5333,DRUMCONDRA SOUTH C,Class B,316189.010517547,237310.74448565472
WMS3936,CHAPELIZOD,Class B,309820.5812753942,234644.35690486236
WMS5261,PEMBROKE EAST E,Class B,317982.6154093708,232409.1755462174
WMS1762,ARRAN QUAY B,Class A,314608.9673951005,234706.26550151475
WMS4175,MOUNTJOY B,Cast Iron,315863.5666044177,235616.7033993636
WMS0971,CHAPELIZOD,Class A,310307.83462893876,234470.37998031563
WMS4702,PEMBROKE EAST B,Cast Iron,318868.35339590075,232899.7091324588
WMS1860,NORTH DOCK C,Class A,316486.24356682436,234659.7219718166
WMS4186,ARRAN QUAY B,Cast Iron,314339.6922848249,234913.38810604063
